Region,Population,GDP,Colour
Eastern Finland,582781,NA,#66a61e
Lapland,186917,NA,#e7298a
Oulu,458504,NA,#e6ab02
Southern Finland,2116914,39540,#7570b3
Western Finland,1848269,47343,#d95f02
