1 975534 Acre
2 3517028 Alagoas
3 989558 Amapá
4 4741598 Amazonas
5 15869904 Bahia
6 9586899 Ceará
7 3785247 Distrito Federal
8 4491519 Espírito Santo
9 7740785 Goiás
10 7371385 Maranhão
11 3758654 Mato Grosso
12 3034548 Mato Grosso do Sul
13 22217073 Minas Gerais
14 9335730 Pará
15 4275748 Paraíba
16 12063635 Paraná
17 10126308 Pernambuco
18 3233614 Piauí
19 17463643 Rio de Janeiro
20 3857223 Rio Grande do Norte
21 11554235 Rio Grande do Sul
22 2003006 Rondônia
23 622402 Roraima
24 8065569 Santa Catarina
25 48531477 São Paulo
26 2541643 Sergipe
27 1741160 Tocantins
