Region,Population,GDP,Colour
Alberta,4362503,331937,#7570b3
British Columbia,5034482,282204,#e6ab02
Manitoba,1362789,71019,#d95f02
New Brunswick,773020,36088,#e6ab02
Newfoundland and Labrador,522537,33074,#d95f02
Northwest Territories,44420,4856,#e7298a
Nova Scotia,966858,42715,#e7298a
Nunavut,39170,2846,#1b9e77
Ontario,14490207,825805,#e7298a
Prince Edward Island,155318,6652,#1b9e77
Quebec,8452209,417173,#7570b3
Saskatchewan,1169131,79513,#66a61e
Yukon,40208,2895,#66a61e
